id_,first_name,last_name,gender,country,phone,designation,ship_or_harbour_id,year_of_joining,qualification
516917,Trevor,Lopez,Male,Kiribati,+1-763-303-2572x19320,Port CaptainDock Master,18552,2016,Marine Biology Degree (for roles related to environmental monitoring)
509140,David,Bell,Male,Nicaragua,(730)294-3718,Pilot,18669,1994,Maritime Transportation Management Degree
507640,Robert,Romero,Male,Solomon Islands,4279383498,Port Engineer,18524,1975,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
534863,John,Riley,Male,Netherlands Antilles,447.545.1725,Port CaptainDock Master,18639,1979,Nautical Science Degree
540121,James,Mccarthy,Male,Lebanon,296.629.0860,Stevedore,18552,1993,Marine Biology Degree (for roles related to environmental monitoring)
539109,Darren,Harrell,Male,Saint Martin,691.325.0125x5331,Stevedore,18608,1994,Port Management Degree
540331,Austin,Schaefer,Male,Swaziland,(466)375-0447x9411,Pilot,18667,2000,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
539014,Jason,Williams,Male,United States Virgin Islands,+1-774-721-7668x266,Pilot,18603,1994,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
528072,Jeremy,Michael,Male,Bermuda,339-408-8023,Port Security Officer,18627,1992,Nautical Science Degree
536171,Michael,Thompson,Male,Georgia,740-374-9603,Port Engineer,18671,1992,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
544599,Miguel,George,Male,Uganda,+1-681-516-4559x670,Stevedore,18562,1992,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
505642,Kevin,Morse,Male,Zambia,(962)286-8853x7700,Port Operations Manager,18621,1994,Maritime Transportation Management Degree
522464,Jay,Goodman,Male,Moldova,285-345-0361x599,Pilot,18583,2007,Environmental Science Degree (for roles related to pollution control and prevention)
507489,Timothy,Wu,Male,Solomon Islands,992.830.7149x6377,Port Security Officer,18549,1982,International Business Degree (useful for port management and operations)
535708,Timothy,Sandoval,Male,United Arab Emirates,(664)207-3070x56665,Port Operations Manager,18593,1982,Maritime Studies Degree
517477,Joshua,Mitchell,Male,Guinea-Bissau,438.884.7734,Pilot,18667,1989,Marine Engineering Degree
518089,Justin,Taylor,Male,Iraq,707-203-0593x300,Port Security Officer,18583,1985,Nautical Science Degree
509385,Daniel,Young,Male,Haiti,382.213.5878x2223,Stevedore,18627,1994,Industrial Safety Degree (for safety management in maritime environments)
534217,Randall,Price,Male,Bhutan,(625)719-2616,Crane,18595,1972,Maritime Transportation Management Degree
523296,Ruben,Solomon,Male,Turks and Caicos Islands,(488)239-1786x138,Harbor Master,18590,2010,Electrical Engineering Degree (for electrical systems aboard ships)
545372,David,Thompson,Male,Romania,849-413-0239,Marine Surveyor,18590,1975,Nautical Science Degree
525500,Jeremy,Franklin,Male,Kyrgyz Republic,652.437.4771,Harbor Master,18643,1995,Civil Engineering Degree (for harbor construction and maintenance)
544839,Robert,Shah,Male,Iran,201.474.6432,Port CaptainDock Master,18627,2014,Maritime Studies Degree
534830,Gordon,Conley,Male,Georgia,+1-217-319-0383,Port Engineer,18541,1994,Naval Architecture Degree
504533,Dennis,White,Male,Oman,9822068542,Stevedore,18521,2010,Logistics and Supply Chain Management Degree
507371,Anthony,Ramos,Male,Malta,+1-278-371-1621x736,Stevedore,18500,1980,Port Management Degree
538640,Stephen,Olson,Male,Denmark,820-264-8030,Port CaptainDock Master,18559,1988,Logistics and Supply Chain Management Degree
529138,Jimmy,Holt,Male,Wallis and Futuna,394.279.0312,Harbor Master,18521,1988,Maritime Law Degree
508205,David,Freeman,Male,Timor-Leste,7838068733,Marine Surveyor,18516,1977,Naval Architecture Degree
521649,Ian,Woods,Male,Eritrea,483.559.3127x967,Crane,18621,2007,Marine Biology Degree (for roles related to environmental monitoring)
517514,Adam,Richard,Male,Equatorial Guinea,(266)528-3106x3804,Marine Surveyor,18603,1981,Maritime Studies Degree
543085,David,Lopez,Male,Tanzania,255-258-7436x737,Pilot,18565,1976,Maritime Transportation Management Degree
519154,James,Rojas,Male,Mali,2644092988,Stevedore,18579,2012,Civil Engineering Degree (for harbor construction and maintenance)
507715,Jerry,Anderson,Male,Ghana,001-943-644-7983,Marine Surveyor,18625,2006,Maritime Transportation Management Degree
511177,Michael,Smith,Male,Nauru,6997697059,Harbor Master,18548,1982,International Business Degree (useful for port management and operations)
521802,Mark,Gonzales,Male,Grenada,987-608-6752x643,Port Operations Manager,18547,1993,Port Management Degree
535873,Joel,Peters,Male,Austria,9954567011,Harbor Master,18559,1983,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
509580,Kenneth,Smith,Male,Gibraltar,(212)522-7577,Port Security Officer,18583,1984,Marine Biology Degree (for roles related to environmental monitoring)
506347,Travis,Oliver,Male,Cape Verde,001-989-370-4849x853,Port Operations Manager,18613,1995,Maritime Studies Degree
505122,Kevin,Castillo,Male,Nauru,(493)243-9381x110,Port Engineer,18539,1994,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
529403,Michael,Barnes,Male,Monaco,+1-502-704-0273x663,Port Operations Manager,18681,1976,Industrial Safety Degree (for safety management in maritime environments)
501898,Benjamin,Navarro,Male,Mexico,001-209-275-3513,Pilot,18687,1975,International Business Degree (useful for port management and operations)
518473,Kenneth,Pennington,Male,Anguilla,+1-819-477-7144x494,Port Engineer,18503,2005,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
505322,Edward,Pena,Male,Slovenia,001-642-914-4426x9378,Harbor Master,18556,2004,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
524172,Lance,Bennett,Male,Greenland,+1-702-393-2632,Pilot,18695,2009,Maritime Transportation Management Degree
523914,Mark,Brown,Male,Guam,992.828.0074x359,Crane,18561,2007,Electrical Engineering Degree (for electrical systems aboard ships)
508036,James,Thomas,Male,China,001-885-329-6869x56074,Port Operations Manager,18548,1999,Maritime Law Degree
505385,Gary,Sullivan,Male,Indonesia,278.548.3944x3462,Harbor Master,18590,2007,International Business Degree (useful for port management and operations)
502048,Zachary,Marshall,Male,Jamaica,761-445-2277,Port Security Officer,18516,1976,Port Management Degree
541508,Seth,Whitaker,Male,Nigeria,7349842308,Port Security Officer,18555,1979,Electrical Engineering Degree (for electrical systems aboard ships)
518774,Kevin,Mccarty,Male,Spain,5536171096,Crane,18522,1984,Logistics and Supply Chain Management Degree
534458,Edward,Barton,Male,Germany,583-744-8149,Crane,18695,1990,Industrial Safety Degree (for safety management in maritime environments)
536223,Wesley,Davis,Male,Djibouti,+1-475-578-6095,Port CaptainDock Master,18615,1988,International Business Degree (useful for port management and operations)
522755,James,Blankenship,Male,British Indian Ocean Territory (Chagos Archipelago),(421)947-2439x58678,Port Engineer,18605,2004,Maritime Studies Degree
538068,Ryan,Meyers,Male,Burkina Faso,001-272-339-6045x4573,Stevedore,18631,1984,Port Management Degree
525506,Nicholas,Gonzales,Male,Solomon Islands,001-838-729-7571x885,Pilot,18567,1982,Maritime Studies Degree
542520,Steven,Carr,Male,United Arab Emirates,+1-457-789-2761,Harbor Master,18665,2005,Maritime Law Degree
544771,Raymond,Gates,Male,Tunisia,+1-786-854-1185x808,Crane,18684,1981,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
519811,Leslie,Hill,Male,Macao,001-429-801-5070,Port Security Officer,18592,1995,Port Management Degree
519873,Leonard,Richardson,Male,Jordan,+1-328-251-9498x54068,Port CaptainDock Master,18602,2018,Maritime Law Degree
515213,Cody,Watkins,Male,Libyan Arab Jamahiriya,278-657-5820,Port Security Officer,18528,2019,Nautical Science Degree
508105,Steve,Sanders,Male,Netherlands Antilles,(953)675-7381x33498,Pilot,18658,2007,Maritime Transportation Management Degree
520017,Nathan,Bennett,Male,United Kingdom,001-637-588-4175,Crane,18543,2017,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
500763,Jeffery,Park,Male,Saint Vincent and the Grenadines,(611)870-3673x172,Stevedore,18547,1985,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
512665,Charles,Mendoza,Male,Liechtenstein,694.586.9256x132,Port Engineer,18585,1987,Maritime Transportation Management Degree
505279,Paul,Thompson,Male,Fiji,(543)388-7525x21493,Pilot,18669,1987,Environmental Science Degree (for roles related to pollution control and prevention)
517273,Scott,Hudson,Male,Chile,(699)477-7480x4285,Crane,18598,2003,Maritime Studies Degree
539467,Tyrone,Figueroa,Male,Guyana,(447)927-5206,Marine Surveyor,18613,1992,Environmental Science Degree (for roles related to pollution control and prevention)
